United Kingdom, Exposure to risk (period 5x10), 	Last modified: 27 May 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1922-1929        0           3179187.39      3283694.80      6462882.19
1922-1929      1-4          12697214.30     12980486.41     25677700.71
1922-1929      5-9          15373849.76     15644740.41     31018590.17
1922-1929     10-14         15936308.93     15996432.38     31932741.31
1922-1929     15-19         16711623.20     16406859.18     33118482.38
1922-1929     20-24         16250276.84     15236440.91     31486717.75
1922-1929     25-29         15333886.30     13309139.47     28643025.77
1922-1929     30-34         14355160.58     12026601.72     26381762.29
1922-1929     35-39         13513773.44     11530273.51     25044046.94
1922-1929     40-44         12933563.17     11249346.89     24182910.05
1922-1929     45-49         12007041.76     10780477.05     22787518.81
1922-1929     50-54         10595477.78      9793810.01     20389287.79
1922-1929     55-59          8771668.53      8069826.37     16841494.90
1922-1929     60-64          7154394.46      6338584.09     13492978.55
1922-1929     65-69          5528646.32      4624777.32     10153423.65
1922-1929     70-74          3970368.57      3052681.15      7023049.72
1922-1929     75-79          2393434.72      1624026.39      4017461.10
1922-1929     80-84          1220057.19       706122.08      1926179.27
1922-1929     85-89           435478.27       213253.30       648731.57
1922-1929     90-94           101098.03        40483.50       141581.53
1922-1929     95-99            15220.96         5035.48        20256.44
1922-1929    100-104            1149.16          305.87         1455.02
1922-1929    105-109              36.51           10.24           46.75
1922-1929    110+                  0.00            0.00            0.00
1930-1939        0           3420223.03      3555307.28      6975530.31
1930-1939      1-4          13457634.94     13833969.45     27291604.39
1930-1939      5-9          17889742.57     18240503.84     36130246.40
1930-1939     10-14         19009589.75     19320339.60     38329929.35
1930-1939     15-19         19223570.89     19144044.20     38367615.08
1930-1939     20-24         19824202.57     18881065.06     38705267.63
1930-1939     25-29         20248356.78     19137221.19     39385577.97
1930-1939     30-34         19333033.35     17983520.45     37316553.80
1930-1939     35-39         18017943.38     15790990.01     33808933.40
1930-1939     40-44         16804287.59     14226154.33     31030441.92
1930-1939     45-49         15855312.87     13580383.84     29435696.71
1930-1939     50-54         14745027.37     12786531.68     27531559.05
1930-1939     55-59         13159222.69     11654535.63     24813758.32
1930-1939     60-64         10962198.92      9686478.70     20648677.61
1930-1939     65-69          8672127.64      7327404.86     15999532.50
1930-1939     70-74          6273171.04      4831440.53     11104611.56
1930-1939     75-79          3842400.66      2624028.52      6466429.18
1930-1939     80-84          1908296.88      1117550.67      3025847.55
1930-1939     85-89           677113.30       321782.35       998895.64
1930-1939     90-94           159592.78        59718.64       219311.42
1930-1939     95-99            22545.32         6443.25        28988.57
1930-1939    100-104            1577.83          364.74         1942.57
1930-1939    105-109              64.93            7.03           71.96
1930-1939    110+                  0.00            0.00            0.00
1940-1949        0           3918790.07      4128591.34      8047381.42
1940-1949      1-4          14362379.40     14993309.06     29355688.46
1940-1949      5-9          16466511.36     17044501.96     33511013.32
1940-1949     10-14         16590510.56     16947452.16     33537962.73
1940-1949     15-19         17542889.88     14895636.59     32438526.47
1940-1949     20-24         17759548.43      9984117.63     27743666.06
1940-1949     25-29         18621056.63     12570522.97     31191579.60
1940-1949     30-34         19358865.70     14569111.83     33927977.53
1940-1949     35-39         19684823.63     16428341.84     36113165.47
1940-1949     40-44         18627645.44     16389111.47     35016756.92
1940-1949     45-49         17323903.32     14770472.45     32094375.77
1940-1949     50-54         15897583.76     13318795.12     29216378.89
1940-1949     55-59         14508938.59     12062520.81     26571459.40
1940-1949     60-64         12942214.12     10586513.52     23528727.64
1940-1949     65-69         10793149.36      8692173.05     19485322.41
1940-1949     70-74          8103047.25      6289873.40     14392920.65
1940-1949     75-79          5165285.49      3590661.09      8755946.57
1940-1949     80-84          2667785.36      1567132.76      4234918.12
1940-1949     85-89           970062.99       459202.09      1429265.07
1940-1949     90-94           227299.73        81581.40       308881.13
1940-1949     95-99            30271.03         8075.46        38346.49
1940-1949    100-104            1889.96          377.11         2267.07
1940-1949    105-109              47.99           21.45           69.44
1940-1949    110+                  0.00            0.00            0.00
1950-1959        0           3920183.49      4132002.96      8052186.44
1950-1959      1-4          15681944.83     16473141.64     32155086.47
1950-1959      5-9          19673482.62     20606678.32     40280160.94
1950-1959     10-14         18072060.73     18727884.46     36799945.19
1950-1959     15-19         16529505.82     16473448.72     33002954.54
1950-1959     20-24         16683096.70     16195431.06     32878527.76
1950-1959     25-29         17658082.86     17379958.80     35038041.67
1950-1959     30-34         18434845.22     18082681.32     36517526.54
1950-1959     35-39         18431451.42     17862598.70     36294050.12
1950-1959     40-44         18803270.08     18133172.83     36936442.91
1950-1959     45-49         18839555.00     18041823.24     36881378.24
1950-1959     50-54         17749699.55     16405841.46     34155541.01
1950-1959     55-59         15987165.00     13555077.07     29542242.07
1950-1959     60-64         14161652.87     10998950.75     25160603.62
1950-1959     65-69         12235569.06      8924290.54     21159859.60
1950-1959     70-74          9851784.81      6737953.40     16589738.21
1950-1959     75-79          6831898.75      4378940.76     11210839.52
1950-1959     80-84          3764749.06      2165161.14      5929910.20
1950-1959     85-89          1444276.65       676502.19      2120778.84
1950-1959     90-94           363720.53       125717.78       489438.31
1950-1959     95-99            51994.01        12393.10        64387.12
1950-1959    100-104            3454.77          530.19         3984.96
1950-1959    105-109              94.87            7.19          102.06
1950-1959    110+                  0.00            0.00            0.00
1960-1969        0           4599947.11      4822554.51      9422501.62
1960-1969      1-4          17793235.25     18660410.71     36453645.97
1960-1969      5-9          20119357.13     21239362.99     41358720.12
1960-1969     10-14         19383452.79     20465696.32     39849149.11
1960-1969     15-19         19718060.03     20419178.61     40137238.64
1960-1969     20-24         18254786.61     18292221.54     36547008.15
1960-1969     25-29         16575628.77     16908889.35     33484518.12
1960-1969     30-34         16438183.24     16795044.25     33233227.49
1960-1969     35-39         17307457.93     17338139.67     34645597.59
1960-1969     40-44         18056189.67     17738737.54     35794927.21
1960-1969     45-49         17914999.12     17228583.95     35143583.07
1960-1969     50-54         17993713.55     17047388.52     35041102.07
1960-1969     55-59         17793944.35     16407780.49     34201724.84
1960-1969     60-64         16214329.97     13777454.54     29991784.51
1960-1969     65-69         13853300.55     10123299.78     23976600.33
1960-1969     70-74         11087049.96      7005208.34     18092258.30
1960-1969     75-79          8091489.47      4495334.97     12586824.44
1960-1969     80-84          4919988.87      2389194.57      7309183.44
1960-1969     85-89          2142559.17       898598.38      3041157.56
1960-1969     90-94           585413.98       196958.97       782372.95
1960-1969     95-99            89443.09        21513.15       110956.24
1960-1969    100-104            7065.79         1036.11         8101.90
1960-1969    105-109             216.60           28.47          245.07
1960-1969    110+                  1.43            1.93            3.36
1970-1979        0           3681263.87      3887460.44      7568724.31
1970-1979      1-4          15790407.09     16630541.17     32420948.26
1970-1979      5-9          21940778.53     23113467.07     45054245.60
1970-1979     10-14         21903016.20     23138540.53     45041556.73
1970-1979     15-19         20248816.11     21165007.45     41413823.56
1970-1979     20-24         19822640.05     20391712.18     40214352.23
1970-1979     25-29         19722503.01     20131616.54     39854119.55
1970-1979     30-34         17748448.90     18187522.40     35935971.30
1970-1979     35-39         16055124.99     16411471.99     32466596.99
1970-1979     40-44         16063322.23     16205648.01     32268970.24
1970-1979     45-49         16861444.04     16639033.10     33500477.14
1970-1979     50-54         17311057.66     16629850.12     33940907.78
1970-1979     55-59         16857830.58     15585516.53     32443347.11
1970-1979     60-64         16521215.90     14510416.26     31031632.16
1970-1979     65-69         15574556.22     12512174.05     28086730.26
1970-1979     70-74         13035401.59      8835317.57     21870719.16
1970-1979     75-79          9498526.67      5099084.70     14597611.37
1970-1979     80-84          5900232.24      2523798.81      8424031.05
1970-1979     85-89          2815242.19       987615.77      3802857.96
1970-1979     90-94           900965.32       255004.49      1155969.81
1970-1979     95-99           162016.87        35524.94       197541.81
1970-1979    100-104           14401.44         2134.26        16535.70
1970-1979    105-109             529.77           37.25          567.02
1970-1979    110+                  4.91            5.47           10.37
1980-1989        0           3611046.60      3791218.28      7402264.88
1980-1989      1-4          13945369.97     14647488.12     28592858.09
1980-1989      5-9          17242743.48     18159637.68     35402381.16
1980-1989     10-14         19208871.09     20224493.50     39433364.59
1980-1989     15-19         22041371.51     23034348.57     45075720.08
1980-1989     20-24         22454152.25     22924356.58     45378508.82
1980-1989     25-29         20422394.34     20651897.35     41074291.68
1980-1989     30-34         19518743.13     19706249.26     39224992.39
1980-1989     35-39         19418741.84     19504063.84     38922805.68
1980-1989     40-44         17460073.26     17619804.73     35079878.00
1980-1989     45-49         15725297.46     15797826.83     31523124.30
1980-1989     50-54         15570524.12     15382786.74     30953310.86
1980-1989     55-59         15986667.72     15268593.52     31255261.24
1980-1989     60-64         15958156.87     14378816.75     30336973.62
1980-1989     65-69         14863028.05     12283773.71     27146801.76
1980-1989     70-74         13488499.33      9859715.82     23348215.16
1980-1989     75-79         11169488.77      6761551.95     17931040.72
1980-1989     80-84          7403840.31      3374093.12     10777933.43
1980-1989     85-89          3688418.15      1201428.67      4889846.83
1980-1989     90-94          1251258.61       302226.77      1553485.38
1980-1989     95-99           254250.20        46545.76       300795.96
1980-1989    100-104           27310.88         3660.22        30971.10
1980-1989    105-109            1227.33          133.07         1360.41
1980-1989    110+                  9.93            0.00            9.93
1990-1999        0           3638825.48      3821269.43      7460094.91
1990-1999      1-4          14795518.45     15504615.45     30300133.90
1990-1999      5-9          18495142.66     19367522.66     37862665.33
1990-1999     10-14         17752041.01     18586097.37     36338138.38
1990-1999     15-19         17510553.92     18127148.01     35637701.93
1990-1999     20-24         19774173.12     20048404.03     39822577.15
1990-1999     25-29         22609216.77     22452088.81     45061305.59
